algorithm,input_type,n,time_ns,comparisons,swaps,recursive_calls,max_recursion_depth
MergeSort,random,100,56700,571,0,31,5
MergeSort,sorted,100,11400,84,0,31,5
MergeSort,reverse,100,38700,460,0,31,5
MergeSort,duplicates,100,41800,563,0,31,5
QuickSort,random,100,132500,767,511,63,4
QuickSort,sorted,100,106100,644,350,69,4
QuickSort,reverse,100,124800,755,384,71,4
QuickSort,duplicates,100,41500,328,218,10,3
DeterministicSelect,random,100,37700,369,149,8,5
ClosestPair,random,100,1159300,1166,0,71,7
MergeSort,random,500,179500,4045,0,127,7
MergeSort,sorted,500,31300,436,0,127,7
MergeSort,reverse,500,159200,3192,0,127,7
MergeSort,duplicates,500,77500,3934,0,127,7
QuickSort,random,500,278900,4840,3477,327,5
QuickSort,sorted,500,228300,4678,2710,329,6
QuickSort,reverse,500,265600,5468,3476,322,5
QuickSort,duplicates,500,53600,1513,1007,10,2
DeterministicSelect,random,500,825400,3566,1479,45,8
ClosestPair,random,500,3659900,8500,0,487,9
MergeSort,random,1000,111900,9197,0,255,8
MergeSort,sorted,1000,7800,872,0,255,8
MergeSort,reverse,1000,57600,6884,0,255,8
MergeSort,duplicates,1000,99400,8744,0,255,8
QuickSort,random,1000,181100,12235,8189,674,7
QuickSort,sorted,1000,169300,11329,5780,663,6
QuickSort,reverse,1000,138100,11361,5430,663,7
QuickSort,duplicates,1000,27300,3512,2478,10,2
DeterministicSelect,random,1000,183400,7612,3209,70,9
ClosestPair,random,1000,2913900,19004,0,975,10
MergeSort,random,5000,1031500,58426,0,1023,10
MergeSort,sorted,5000,61500,4488,0,1023,10
MergeSort,reverse,5000,795000,44324,0,1023,10
MergeSort,duplicates,5000,895600,55983,0,1023,10
QuickSort,random,5000,603300,71925,49397,3344,8
QuickSort,sorted,5000,557400,74865,44368,3310,8
QuickSort,reverse,5000,320000,74185,40598,3353,8
QuickSort,duplicates,5000,72600,16091,11079,10,2
DeterministicSelect,random,5000,958500,40411,17165,226,12
ClosestPair,random,5000,9931000,116442,0,4095,12
MergeSort,random,10000,2182600,127192,0,2047,11
MergeSort,sorted,10000,470900,8976,0,2047,11
MergeSort,reverse,10000,3480300,93648,0,2047,11
MergeSort,duplicates,10000,3348800,121815,0,2047,11
QuickSort,random,10000,1355000,171974,117125,6647,8
QuickSort,sorted,10000,1017500,169219,98128,6644,8
QuickSort,reverse,10000,854300,166928,78550,6653,8
QuickSort,duplicates,10000,198200,41875,31845,10,2
DeterministicSelect,random,10000,2454400,80164,34272,322,12
ClosestPair,random,10000,34154400,252916,0,8191,13
